@Soil_Perm@,@Soil_Poro@,@103_Perm@,@103_Poro@,@104_Perm@,@104_Poro@,@Diff_Temp_conifer@,@Melt_rate_conifer@
1.7548222e-12,0.44196394,6.9929095e-14,0.1281806,1.8934802e-12,0.11573445,2.6449559,1.9689479
2.4686574e-12,0.38861832,1.1455835e-13,0.1403211,3.288915e-12,0.091294855,2.7508917,1.9096856
3.5916738e-12,0.37645045,9.2418376e-14,0.1459419,3.2896446e-12,0.09780208,2.9205754,2.0591013
1.4607842e-12,0.27295762,6.382471e-14,0.13832013,2.5011128e-12,0.11715999,2.8440895,2.0815437
2.2957406e-12,0.35936853,6.578757e-14,0.14134507,3.4578486e-12,0.11179452,2.712513,1.9255915
3.3532944e-12,0.3691671,1.1624017e-13,0.15168913,2.9461863e-12,0.0507149,2.483811,1.7405419
1.9499985e-12,0.32258803,1.515711e-13,0.1907662,2.9641292e-12,0.053956203,2.6415744,1.8979766
2.2469726e-12,0.41015053,8.300707e-14,0.1554471,3.8014843e-12,0.08406741,2.7616527,2.0297222
2.211328e-12,0.43018344,1.06277095e-13,0.14756101,2.7359974e-12,0.053378746,2.9433923,2.085021
1.5154147e-12,0.39066035,8.036103e-14,0.15642133,4.1839344e-12,0.09926935,2.7509658,1.9914142
1.9758826e-12,0.2587851,1.2444635e-13,0.119904414,3.9723337e-12,0.09072106,2.7093136,1.9660538
2.8630447e-12,0.43872935,8.972949e-14,0.13951577,3.906324e-12,0.06776059,2.4764698,1.7449942
4.164237e-12,0.33255282,7.195602e-14,0.17135406,2.679177e-12,0.11600657,2.6565955,1.967952
3.521117e-12,0.38914964,9.0895194e-14,0.1699148,3.3443816e-12,0.062492568,2.5057862,1.7830143
3.2148461e-12,0.3273123,1.2648509e-13,0.14171694,3.8106445e-12,0.07620886,2.6320403,1.9271777
1.5107465e-12,0.44161427,6.892095e-14,0.15437871,2.8004539e-12,0.106768996,2.3830352,1.848897
1.5545463e-12,0.35164863,1.1974689e-13,0.16341087,3.0779272e-12,0.082419336,2.924112,2.0732477
1.5612412e-12,0.36557814,9.82817e-14,0.119843684,2.800374e-12,0.09726995,2.5851176,1.8506776
1.6430745e-12,0.37683925,9.993634e-14,0.14293599,3.2024032e-12,0.088035665,2.5940044,1.8879774
2.3200003e-12,0.2851189,7.659259e-14,0.11343013,2.787784e-12,0.11772857,2.348708,1.8009931
1.9535517e-12,0.21544072,1.5938447e-13,0.15996599,2.653421e-12,0.08122092,2.8276522,2.0103247
1.5946918e-12,0.3139483,7.5156915e-14,0.14643061,3.1743278e-12,0.08981383,2.3952727,1.8636461
2.9896298e-12,0.3796205,7.0485643e-14,0.13359796,1.7900093e-12,0.11782746,2.4728425,1.8182563
4.0682392e-12,0.25712112,9.442856e-14,0.14762454,2.7367063e-12,0.099844605,2.5332668,1.8399559
3.3155275e-12,0.3863152,1.1499109e-13,0.1519272,3.6006367e-12,0.067868516,2.350052,1.6784939
2.216739e-12,0.31558222,1.0234081e-13,0.10709165,4.273522e-12,0.11115669,2.7856696,2.0218039
2.064911e-12,0.26550204,1.0384328e-13,0.14881958,4.9788854e-12,0.116733104,2.59516,1.999342
2.6250176e-12,0.40287852,8.754516e-14,0.14696845,2.3877497e-12,0.086264946,2.6248665,1.9059656
1.6054188e-12,0.37702546,6.998747e-14,0.1677098,3.21311e-12,0.09195311,2.5607607,1.905916
2.7887757e-12,0.3934194,9.1761966e-14,0.14882275,2.6102165e-12,0.07748811,2.5268693,1.8404564
1.5124891e-12,0.24377902,1.7068782e-13,0.1405245,3.0791576e-12,0.0775038,2.9095268,2.103781
2.589794e-12,0.36866757,1.2902473e-13,0.15580447,2.8789445e-12,0.08076863,2.875873,2.0021732
1.927973e-12,0.35047364,1.6075566e-13,0.17128043,4.22246e-12,0.06116997,2.6439486,1.8465773
9.12105e-13,0.44777283,1.3823449e-13,0.1465717,2.751252e-12,0.058799926,2.5219195,1.915981
2.53956e-12,0.38755128,9.1868014e-14,0.1386509,2.8400641e-12,0.07901929,2.7130363,1.978471
1.5782868e-12,0.25116166,7.754334e-14,0.1277429,3.148883e-12,0.13705292,2.8956478,1.9521097
2.8365363e-12,0.308429,2.2124206e-13,0.1528909,4.4937496e-12,0.05023358,2.3786833,1.6947753
2.5430532e-12,0.37735003,6.016892e-14,0.16876176,3.938071e-12,0.10275218,2.5878146,1.93681
2.3544738e-12,0.3599202,1.4556288e-13,0.15204005,3.4210068e-12,0.057760067,2.8839774,2.0419846
1.6858282e-12,0.28068405,8.867488e-14,0.18884297,3.4147774e-12,0.1278237,2.8305101,2.0458355
