Date,Date,Q (m3/s),T (C)
2022-05-05 19:00:00,2022-05-05 19:00:00,0.003737452,
2022-05-05 20:00:00,2022-05-05 20:00:00,0.003779457,
2022-05-05 21:00:00,2022-05-05 21:00:00,0.003796303,
2022-05-05 22:00:00,2022-05-05 22:00:00,0.003109183,
2022-05-05 23:00:00,2022-05-05 23:00:00,0.003574954,
2022-05-06 00:00:00,2022-05-06 00:00:00,0.003058543,
2022-05-06 01:00:00,2022-05-06 01:00:00,0.003316337,
2022-05-06 02:00:00,2022-05-06 02:00:00,0.003205535,
2022-05-06 03:00:00,2022-05-06 03:00:00,0.003091201,
2022-05-06 04:00:00,2022-05-06 04:00:00,0.002705861,
2022-05-06 05:00:00,2022-05-06 05:00:00,0.00292695,
2022-05-06 06:00:00,2022-05-06 06:00:00,0.002727983,
2022-05-06 07:00:00,2022-05-06 07:00:00,0.003087845,
2022-05-06 08:00:00,2022-05-06 08:00:00,0.003247123,
2022-05-06 09:00:00,2022-05-06 09:00:00,0.00298789,
2022-05-06 10:00:00,2022-05-06 10:00:00,0.002410726,
2022-05-06 11:00:00,2022-05-06 11:00:00,0.002949728,
2022-05-06 12:00:00,2022-05-06 12:00:00,0.003343764,
2022-05-06 13:00:00,2022-05-06 13:00:00,0.00412964,
2022-05-06 14:00:00,2022-05-06 14:00:00,0.005535924,
2022-05-06 15:00:00,2022-05-06 15:00:00,0.006869087,
2022-05-06 16:00:00,2022-05-06 16:00:00,0.008187871,
2022-05-06 17:00:00,2022-05-06 17:00:00,0.008786366,
2022-05-06 18:00:00,2022-05-06 18:00:00,0.008161908,
2022-05-06 19:00:00,2022-05-06 19:00:00,0.008541817,
2022-05-06 20:00:00,2022-05-06 20:00:00,0.008095055,
2022-05-06 21:00:00,2022-05-06 21:00:00,0.008050062,
2022-05-06 22:00:00,2022-05-06 22:00:00,0.006851388,
2022-05-06 23:00:00,2022-05-06 23:00:00,0.007042654,
2022-05-07 00:00:00,2022-05-07 00:00:00,0.006739758,
2022-05-07 01:00:00,2022-05-07 01:00:00,0.006465999,
2022-05-07 02:00:00,2022-05-07 02:00:00,0.006861925,
2022-05-07 03:00:00,2022-05-07 03:00:00,0.006471884,
2022-05-07 04:00:00,2022-05-07 04:00:00,0.006271439,
2022-05-07 05:00:00,2022-05-07 05:00:00,0.006207104,
2022-05-07 06:00:00,2022-05-07 06:00:00,0.005802799,
2022-05-07 07:00:00,2022-05-07 07:00:00,0.005543153,
